GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/wechaty-puppet_2.12,wechaty.puppet.support,FriendshipSupport,47,6,4,0,11,2,4,1,2,1
report/wechaty-puppet_2.12,wechaty.puppet.support,MessageSupport,346,53,98,2,30,10,51,2,1,2
report/wechaty-puppet_2.12,wechaty.puppet.support,RoomMemberSupport,56,55,3,5,6,12,6,4,3,3
report/wechaty-puppet_2.12,wechaty.puppet.support,ContactSupport,5,60,1,3,1,12,1,4,0,3
report/wechaty-puppet_2.12,wechaty.puppet.support,RoomSupport,12,29,2,2,3,8,3,2,1,2
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.StreamResourceBox,27,0,0,0,3,0,6,0,6,0
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox,19,1,0,0,1,1,5,1,5,1
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.FileResourceBox,3,28,0,0,0,2,1,5,1,5
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.Base64ResourceBox,5,45,0,0,0,7,1,5,1,5
report/wechaty-puppet_2.12,wechaty.puppet,Puppet,0,6,0,0,0,2,0,2,0,2
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.AbstractResourceBox,0,65,1,1,0,11,1,5,0,5
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.ResourceBoxType.,18,46,0,0,0,8,6,3,6,3
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.UrlResourceBox,33,46,0,0,5,7,1,5,1,5
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.,81,23,12,0,9,5,7,5,1,5
report/wechaty-puppet_2.12,wechaty.puppet,LoggerSupport,39,82,7,3,4,8,9,6,4,6
report/wechaty-puppet_2.12,wechaty.puppet.events,EventEmitter,0,100,0,4,0,10,0,7,0,5
report/wechaty-hostie_2.12,wechaty.hostie,PuppetHostie,369,290,6,6,21,13,66,57,61,56
report/wechaty-hostie_2.12,wechaty.hostie,Configuration.,54,62,8,4,4,6,7,5,2,4
report/wechaty-hostie_2.12,wechaty.hostie,Configuration,6,0,0,0,0,0,2,0,2,0
report/wechaty-hostie_2.12,wechaty.hostie.support,MessageRawSupport,259,92,1,1,63,16,14,2,13,2
report/wechaty-hostie_2.12,wechaty.hostie.support,GrpcSupport..anon.new StreamObserver() {...},12,0,0,0,5,0,4,0,4,0
report/wechaty-hostie_2.12,wechaty.hostie.support,FriendshipRawSupport,141,1,6,0,35,1,8,1,5,1
report/wechaty-hostie_2.12,wechaty.hostie.support,ContactSelfRawSupport,36,1,0,0,9,1,3,1,3,1
report/wechaty-hostie_2.12,wechaty.hostie.support,GrpcSupport,126,112,2,2,16,22,5,6,3,6
report/wechaty-hostie_2.12,wechaty.hostie.support,TagRawSupport,89,1,0,0,20,1,5,1,5,1
report/wechaty-hostie_2.12,wechaty.hostie.support,RoomInvitationRawSupport,78,1,0,0,17,1,2,1,2,1
report/wechaty-hostie_2.12,wechaty.hostie.support,RoomMemberRawSupport,56,40,0,0,13,12,3,2,3,2
report/wechaty-hostie_2.12,wechaty.hostie.support,ContactRawSupport,148,91,12,0,26,22,10,3,4,3
report/wechaty-hostie_2.12,wechaty.hostie.support,GrpcEventSupport,306,71,33,3,42,11,22,3,4,3
report/wechaty-hostie_2.12,wechaty.hostie.support,RoomRawSupport,146,60,0,0,37,12,9,2,9,2
report/wechaty_2.12,wechaty,Wechaty..anon.new Runnable() {...},2,21,1,1,0,3,1,2,0,2
report/wechaty_2.12,wechaty,Wechaty.,5,33,3,3,0,6,3,5,0,5
report/wechaty_2.12,wechaty,JavaDingDongBot,83,0,2,0,16,0,6,0,5,0
report/wechaty_2.12,wechaty,DingDongBot.,125,0,12,0,18,0,12,0,6,0
report/wechaty_2.12,wechaty,DingDongBot,4,0,0,0,0,0,1,0,1,0
report/wechaty_2.12,wechaty,Wechaty,86,168,1,1,11,17,11,20,10,20
report/wechaty_2.12,wechaty,WechatyOptions,21,22,0,0,0,6,6,3,6,3
report/wechaty_2.12,wechaty.helper,ImplicitHelper.,114,27,0,0,7,3,19,5,19,5
report/wechaty_2.12,wechaty.user,Contact,273,49,44,2,42,9,46,5,23,5
report/wechaty_2.12,wechaty.user,Image,70,0,0,0,4,0,11,0,11,0
report/wechaty_2.12,wechaty.user,Conversation,56,12,0,0,4,2,4,2,4,2
report/wechaty_2.12,wechaty.user,MiniProgram,37,0,0,0,9,0,9,0,9,0
report/wechaty_2.12,wechaty.user,Tag,3,0,0,0,2,0,1,0,1,0
report/wechaty_2.12,wechaty.user,Message,606,231,88,14,78,33,76,16,26,15
report/wechaty_2.12,wechaty.user,Friendship,89,12,4,0,16,2,10,2,8,2
report/wechaty_2.12,wechaty.user,Room.,95,254,11,3,8,30,10,14,4,13
report/wechaty_2.12,wechaty.user,Room,476,75,30,2,40,8,50,11,34,11
report/wechaty_2.12,wechaty.user,UrlLink,9,0,0,0,2,0,2,0,2,0
report/wechaty_2.12,wechaty.user,Friendship.,15,0,0,0,3,0,3,0,3,0
report/wechaty_2.12,wechaty.user,ContactSelf,5,0,0,0,1,0,1,0,1,0
