GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcMessagePayload,0,178,0,0,0,27,0,51,0,51
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.AutoLoginError.,22,0,0,0,3,0,4,0,4,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelRoom.GrpcRoomPayload,220,0,0,0,33,0,63,0,63,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcContactOperationOption,31,0,0,0,6,0,9,0,9,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelRoom.PadplusRoomInvitationPayload,52,0,0,0,9,0,15,0,15,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.ContactOperationCmdId.,24,0,0,0,3,0,4,0,4,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.GrpcVoiceFormat.,40,0,0,0,5,0,6,0,6,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelFriendship.FriendshipPayloadReceive,17,0,0,0,3,0,5,0,5,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.QrcodeStatus.,48,0,0,0,6,0,7,0,7,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.RequestStatus.,24,0,0,0,3,0,4,0,4,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelEvent.RoomInviteEvent,52,0,0,0,9,0,15,0,15,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcQrCodeStatus,31,0,0,0,6,0,9,0,9,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelFriendship.,8,0,0,0,2,0,2,0,2,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.LoginStatus.,16,0,0,0,2,0,3,0,3,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcQrCodeLogin,52,0,0,0,9,0,15,0,15,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelFriendship.FriendshipPayloadConfirm,3,0,0,0,1,0,1,0,1,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelRoom.PadplusRoomPayload,94,0,0,0,14,0,27,0,27,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelRoom.PadplusRoomInviteEvent,52,0,0,0,9,0,15,0,15,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcRoomRawPayload,108,0,0,0,17,0,31,0,31,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelMessage.PadplusMessagePayload,0,150,0,0,0,23,0,43,0,43
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcDeletedPayload,17,0,0,0,4,0,5,0,5,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelContact.SetContactSelfInfoGrpcResponse,52,0,0,0,9,0,15,0,15,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcGetCdnDnsPayload.snsCdn,38,0,2,0,6,0,10,0,9,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.PadplusRoomMemberFlag.,32,0,0,0,4,0,5,0,5,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelMessage.,8,0,0,0,2,0,2,0,2,0
wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelMessage.PadplusLocationMessagePayload,59,0,0,0,10,0,17,0,17,0
