GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.,8,0,0,0,2,0,2,0,2,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.ScanStatus.,56,0,0,0,7,0,8,0,8,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.PuppetOptions,14,39,0,0,0,7,4,7,4,7
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipSceneType.,104,0,0,0,13,0,14,0,14,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.ContactPayload,44,50,0,0,2,13,14,13,14,13
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventLoginPayload,10,0,0,0,2,0,3,0,3,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,RoomInvitation.,8,0,0,0,2,0,2,0,2,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet,17,0,0,0,0,0,5,0,5,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayloadReceive,24,0,0,0,4,0,7,0,7,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.WechatAppMessageType.,160,0,0,0,20,0,21,0,21,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventMessagePayload,10,0,0,0,2,0,3,0,3,0
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.PuppetEventName.,0,144,0,0,0,18,0,19,0,19
wechaty-puppet-padplus_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,UrlLink.UrlLinkPayload,31,0,0,0,6,0,9,0,9,0
